ticker
NVDA
AAPL
MSFT
AMZN
GOOGL
AVGO
GOOG
META
TSLA
BRKB
JPM
LLY
XOM
WMT
AMD
MU
JNJ
V
COST
MA
NFLX
INTC
CAT
CSCO
ABBV
CVX
BAC
PG
LRCX
HD
AMAT
PLTR
UNH
GEV
GE
KO
ORCL
GS
MRK
PM
KLAC
TXN
WFC
LIN
RTX
MS
C
IBM
MCD
PEP
NEE
VZ
ADI
AMGN
APH
T
ANET
BA
DIS
TMO
TJX
ISRG
AXP
CRM
ETN
GILD
UNP
QCOM
ABT
UBER
PFE
BLK
COP
SCHW
SNDK
WELL
BKNG
PANW
DE
GLW
LOW
WDC
HON
SPGI
PLD
NEM
STX
VRT
PH
APP
COF
BMY
CB
PGR
CRWD
SYK
SBUX
MO
DHR
INTU
ACN
VRTX
EQIX
TT
MDT
LMT
SO
CME
MCK
ADBE
CVS
DUK
CMCSA
CEG
HWM
SNPS
NOW
PWR
BK
BSX
CMI
BX
CDNS
ICE
TMUS
PNC
WMB
FCX
JCI
USB
WM
CSX
SLB
FDX
AMT
MRSH
MAR
GD
EMR
MPWR
ADP
CRH
UPS
ORLY
SHW
HLT
MMM
NOC
ELV
REGN
MDLZ
CIEN
ROST
AEP
CI
MSI
EOG
VLO
NSC
ITW
GM
MCO
KKR
AON
ECL
CL
BKR
HCA
APD
WBD
HOOD
RCL
PCAR
MPC
DASH
PSX
TRV
TER
SPG
TDG
DLR
DELL
TFC
COHR
TEL
LITE
KMI
NXPI
URI
SRE
FIX
ABNB
COR
CTAS
KEYS
AZO
LHX
TGT
O
CVNA
APO
MNST
AJG
ALL
OKE
CTVA
AME
AFL
D
FTNT
NKE
VST
TRGP
ETR
FAST
ADSK
GWW
ZTS
NUE
EW
PSA
F
MCHP
EXC
CARR
CAH
XEL
PYPL
EA
WAB
IDXX
ROK
FITB
CMG
COIN
YUM
DAL
EBAY
MSCI
BDX
CBRE
DHI
MET
DDOG
GRMN
AMP
RSG
STT
OXY
ODFL
NDAQ
AIG
PEG
VTR
KDP
ED
XYZ
KR
EME
ON
VMC
FANG
ROP
CCI
HIG
HPE
WEC
MLM
EQT
SYY
TTWO
PCG
JBL
ACGL
IRM
IBKR
NRG
HAL
KVUE
HBAN
ADM
FISV
PRU
A
MTB
KMB
RMD
GEHC
AXON
CCL
STLD
AEE
ATO
NTRS
DTE
TDY
WAT
VICI
DOV
OTIS
Q
EXR
UAL
IR
DVN
CASY
XYL
TPR
CPRT
EXPE
HUBB
PAYX
PPL
HSY
DOW
CNP
IQV
WTW
CFG
BIIB
RJF
DG
SYF
EIX
CTSH
MTD
HUM
AWK
ES
FE
CINF
WDAY
CTRA
TPL
ULTA
VRSK
LYV
PPG
PHM
AVB
RF
FICO
OMC
ARES
DXCM
FIS
SBAC
CMS
DRI
EXE
NI
WSM
CHD
VRSN
ALB
WST
VLTO
STZ
CPAY
LH
STE
CHRW
DGX
NTAP
EQR
TROW
SW
FSLR
EFX
LEN
KEY
WRB
EXPD
PFG
SNA
CNC
TSCO
LUV
BRO
EL
DLTR
FTV
PKG
DD
CF
EVRG
KHC
L
LDOS
GIS
JBHT
LNT
NVR
IFF
HPQ
BR
AMCR
ZBH
TSN
WY
LYB
MRNA
CDW
IP
FFIV
BG
VTRS
ROL
ESS
BALL
PTC
GPN
TRMB
KIM
LVS
INCY
LII
CHTR
CSGP
DECK
LULU
IEX
TXT
INVH
GPC
MAS
PNR
NDSN
J
TYL
MAA
SMCI
RL
HII
EG
AKAM
APA
HST
PODD
REG
MKC
GNRC
AVY
APTV
HAS
ALGN
COO
FOXA
ALLE
TKO
PNW
GL
CLX
SWK
BBY
GDDY
AIZ
DPZ
DOC
IVZ
ZBRA
JKHY
IT
TTD
CPT
GEN
UDR
AES
SJM
SOLV
BLDR
RVTY
NWSA
UHS
SWKS
BAX
WYNN
FRT
BXP
TECH
NCLH
CRL
BEN
FDS
FOX
HSIC
MOS
POOL
MGM
ARE
AOS
TAP
CAG
EPAM
HRL
ERIE
DVA
BFB
CPB
NWS
PSKY
